id	fdr.pvalue.D_150s_vs_D_0s	fdr.pvalue.D_600s_vs_D_0s	fdr.pvalue.R_150s_vs_R_0s	fdr.pvalue.R_600s_vs_R_0s	fdr.pvalue.S_150s_vs_S_0s	fdr.pvalue.S_600s_vs_S_0s	D_150s_vs_D_0s	D_600s_vs_D_0s	R_150s_vs_R_0s	R_600s_vs_R_0s	S_150s_vs_S_0s	S_600s_vs_S_0s
PERT-PSP_IL_2	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.067	5.0647	4.8891	5.0603	4.7581	4.9911
PERT-PSP_IL_1B	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.696	4.7048	4.3846	4.5802	4.1825	4.4232
PERT-PSP_IL_1A	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.6155	4.6144	4.4407	4.4796	4.1438	4.5098
PERT-PSP_HGF	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00136555849692302	0.000381923076923077	3.5586	3.5539	3.516	3.5436	3.3071	3.4998
PERT-PSP_HEREGULIN	0.000716088555563568	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00136555849692302	0.000381923076923077	3.5454	3.5562	3.4626	3.5279	3.3129	3.4258
PERT-PSP_H2O2	0.237912224964554	0.0031720476477973	0.812826152781797	0.684022542595695	0.0820227607628619	0.0259919871794872	1.7265	3.3544	0.5439	-0.861	1.9658	2.9314
PERT-PSP_GEFITINIB	0.0648780240689828	0.905872300376461	0.0468192815931509	0.709587392584798	0.0249627465600072	0.737469168031975	-2.1109	0.3181	-2.6125	0.8135	-2.6816	-0.7391
PERT-PSP_FIBRONECTIN	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00195595650803656	0.000381923076923077	3.5113	3.5969	3.4913	3.6272	3.2342	3.5229
PERT-PSP_FGF2	0.0185750235750181	0.914329613148319	0.0121061847027706	0.0539107104783113	0.108097543113952	0.513052182356537	2.9093	-0.3199	3.0659	2.5992	2.2111	-1.2426
PERT-PSP_FGF1	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00255848706585592	0.000381923076923077	3.6239	3.5769	3.4302	3.6312	3.3008	3.4905
PERT-PSP_ETOPOSIDE	0.647718515967299	0.0234481159718957	0.0728800568569796	0.608843588211868	0.119613273069469	0.697293752890075	-0.9542	2.8695	-2.4172	-1.0804	-2.2568	0.8594
PERT-PSP_ERLOTINIB	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00136555849692302	0.000381923076923077	-5.1195	-5.1102	-5.0133	-5.0232	-3.5675	-3.9334
PERT-PSP_EGF	0.0109753309556455	0.000381923076923077	0.299268140702699	0.662245218362616	0.00487242394504416	0.0588929865424431	3.4768	6.7168	1.7096	0.8292	3.4976	2.6924
PERT-PSP_DASATINIB	0.000716088555563568	0.000381923076923077	0.000716088555563568	0.000381923076923077	0.000716088555563568	0.000381923076923077	-3.5396	-3.5435	-3.4809	-3.5274	-3.3084	-3.4439
PERT-PSP_CYCLIC_STRETCH	0.000381923076923077	0.000381923076923077	0.000716088555563568	0.000381923076923077	0.00136555849692302	0.000381923076923077	3.5879	3.5591	3.4236	3.6642	3.2559	3.4627
PERT-PSP_CXCL12	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00136899805334819	0.000381923076923077	3.6424	3.5312	3.505	3.5682	3.2788	3.4575
PERT-PSP_CISPLATIN	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00136555849692302	0.000381923076923077	4.1078	4.0508	3.968	4.2427	3.5821	3.968
PERT-PSP_BACTERIAL_INFECTION	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00136555849692302	0.000381923076923077	3.6226	3.5066	3.4801	3.5554	3.2174	3.4833
PERT-PSP_ARSENITE	0.496350532487236	0.0330150893171624	0.563672313592661	0.103392187113117	0.989976338372641	0.0700155213376367	-1.27	2.3633	-1.0837	2.3642	-0.116	2.3721
PERT-PSP_ANTI_TCR	0.00554716924918006	0.0831446033984821	0.117468454258675	0.386000812752902	0.0556270002484327	NA	3.1136	2.0169	2.2598	1.519	2.2739	NA
PERT-PSP_ANTI_IGM	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.1664	4.1207	3.9211	4.1249	3.6093	3.945
PERT-PSP_ANTI_CD3	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	10.2433	8.7197	9.7451	8.4307	8.7943	4.985
PERT-PSP_ANISOMYCIN	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.6266	4.5385	4.3588	4.525	4.1799	4.4962
PERT-P100-DIA2_SOTRASTAURIN	0.976422267420958	0.844759190466939	0.0849095620762767	0.00899640143942423	0.852330709983029	0.0378244262859647	-0.1337	-0.4574	2.3506	2.8537	0.4363	2.7885
PERT-P100-DIA2_RGFP966	1	0.31933182293976	0.414343501462	0.107590081702201	0.399204036326942	0.107562943986695	-0.0057	1.6312	1.4183	1.9643	-1.4673	2.0042
PERT-P100-DIA2_RESVERATROL	0.43330659166415	0.638895644447903	0.0912492123503466	0.413586576732598	0.0395222670577358	0.253042888188354	-1.3805	0.9497	-2.3168	-1.444	-2.7951	-1.8581
PERT-P100-DIA2_PRAVASTATIN	0.313489942680747	0.0940437622133086	0.0268454561429595	0.0194229301197226	0.426787306777646	0.0731044045382281	1.6173	1.9123	1.9884	2.0398	1.4248	1.9206
PERT-P100-DIA2_PAZOPANIB	0.620004995004995	0.236857307287199	0.0668364261087512	0.1411921875	0.182294963584884	0.384171128955225	-1.0079	1.8578	-2.4213	-2.1121	-2.0626	1.5176
PERT-P100-DIA2_LOSMAPIMOD	0.444184399720482	0.631755125583686	0.0902299784542638	0.413586576732598	0.0378244262859647	0.259209186231207	-1.3586	0.9527	-2.3473	-1.442	-2.8029	-1.8266
PERT-P100-DIA2_LENALIDOMIDE	0.634376049497533	0.249335933003338	0.0707762598802942	0.146058768602412	0.172037030718664	0.386530988061976	-0.9927	1.855	-2.4274	-2.0765	-2.1015	1.5047
PERT-P100-DIA2_IPI145	0.893574052081593	0.0401935605301664	0.238715780153905	0.0139806855351012	0.638895644447903	0.0185341945514013	-0.3557	2.8518	-1.7817	-2.9011	0.9011	2.8211
PERT-P100-DIA2_GELDANAMYCIN	0.452812791285647	0.633287858117326	0.0871052631578947	0.412523578550256	0.0382706742575952	0.263328781979434	-1.3627	0.9539	-2.3279	-1.4419	-2.8347	-1.831
PERT-P100-DIA2_CI-994	0.448388163698657	0.637837409168504	0.093937137441548	0.412919267951328	0.0414628587986894	0.250784217140416	-1.3507	0.9394	-2.3024	-1.4372	-2.8023	-1.8579
PATH-WP_Non-small_cell_lung_cancer	0.000381923076923077	0.000381923076923077	0.000716088555563568	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.143	4.0905	3.4181	3.4519	3.8015	4.0152
PATH-NP_TWEAK_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.4876	5.4931	5.2838	5.4226	4.9944	5.2351
PATH-NP_TSLP_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.6212	5.5913	5.1419	5.4329	4.5462	4.4949
PATH-NP_TIE2_PATHWAY	0.647718515967299	0.000381923076923077	0.0915785640230655	0.185100352382412	0.92926159289838	0.0709049475527186	0.8868	3.8941	-2.4087	-2.0352	0.251	2.3914
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.106630131586926	0.00491691868144383	0.442244663196802	0.185100352382412	0.617053878793169	0.0225528049057461	2.3871	3.0053	1.3705	2.028	0.9752	2.5518
PATH-NP_PROLACTIN_PATHWAY	0.812826152781797	0.921683545586781	0.647718515967299	0.293408406313353	0.76849763212005	0.923001630224702	0.5588	-0.3327	0.904	-1.7442	-0.6733	-0.3189
PATH-NP_OXYTOCIN_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.5989	4.5639	4.343	4.5416	4.1403	4.4514
PATH-NP_NOTCH_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.9394	5.4208	5.5502	5.5109	5.3436	5.2426
PATH-NP_LEPTIN_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.8873	5.7228	6.0601	5.9163	5.7411	4.6016
PATH-NP_KIT_RECEPTOR_PATHWAY	0.000716088555563568	0.0391931449092678	0.000716088555563568	0.000381923076923077	0.000716088555563568	0.000381923076923077	3.8857	2.7754	4.0142	3.6776	3.7744	3.5029
PATH-NP_IL33_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.414	5.3456	5.2059	5.1026	5.0551	4.9628
PATH-NP_IL11_PATHWAY	0.00315044867719227	0.00195595650803656	0.0129575626914785	0.00376954526301404	0.022091284379775	0.00554292713937947	2.8377	2.8274	2.7218	2.8983	2.5384	2.7103
PATH-NP_GLP1_PATHWAY	0.843886452428374	0.362520783645102	0.999349380249536	0.638895644447903	0.886579425021654	0.642960167674879	0.4467	1.5212	-0.0909	-0.9847	-0.3624	0.9727
PATH-NP_FGF1_PATHWAY	0.384146036589275	0.879209511230465	0.132479567307692	0.0577392440306799	0.0111510453329267	0.966743202606805	1.5037	0.369	-2.236	-2.5748	-3.324	0.1723
PATH-NP_EGFR1_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.957533976218744	0.000381923076923077	0.000381923076923077	7.1471	6.6614	5.6828	-0.1675	7.5503	6.1811
PATH-NP_CRH_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.4763	5.4394	5.2238	5.5088	5.0135	5.214
PATH-NP_CCR7_PATHWAY	0.608843588211868	0.570858851532786	0.608843588211868	0.972277769281049	0.349764537468648	0.0383963723284589	-1.0634	1.1353	-1.0359	0.1443	1.5417	2.0678
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.000381923076923077	0.029698497903872	0.0116706822589176	0.621011600149106	0.000381923076923077	0.0242785737520543	4.7088	3.0025	3.2358	0.9641	4.592	2.8509
PATH-NP_AGE_RAGE_PATHWAY	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.8623	5.2212	5.6512	5.5682	5.4744	5.2759
PATH-BI_ISCHEMIA	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00195595650803656	0.503801122551123	3.7824	3.4948	3.7726	3.7106	3.3084	1.2111
KINASE-PSP_ZAP70	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.350452856697685	5.3236	5.2167	4.5963	3.8874	4.0592	1.5257
KINASE-PSP_Syk/SYK	0.000381923076923077	0.000381923076923077	0.00256305522377369	0.07824661969047	0.000381923076923077	0.0275798858476024	5.0698	4.0873	3.8822	2.4883	4.4252	2.7663
KINASE-PSP_Src/SRC	0.000381923076923077	0.251814452842566	0.000716088555563568	0.589210969369082	0.000716088555563568	0.868152071896013	5.1366	1.8448	4.1634	1.0483	4.4689	0.3863
KINASE-PSP_Ret/RET	0.642960167674879	0.000381923076923077	0.775998294977654	0.852416964593896	0.963882209674086	0.0121061847027706	-0.9016	3.6368	-0.6025	0.4409	0.1572	3.2197
KINASE-PSP_PDGFRB	0.0343492887589215	0.999828580256688	0.659167031708057	0.205084571969623	0.00435601645397324	0.846060568935345	2.4702	0.089	0.8335	-1.7674	3.3603	0.4697
KINASE-PSP_MKK7/MAP2K7	0.774273086331025	0.00487734796046548	0.712385885595932	0.0987369890835237	0.928021113303296	0.0728800568569796	0.6699	3.3787	-0.7436	2.199	0.2645	2.3623
KINASE-PSP_MKK4/MAP2K4	0.649150432194648	0.000381923076923077	0.0904860100753218	0.18156870480945	0.690731490731491	0.0153737646542752	0.8759	3.767	-2.4283	-2.0459	0.7982	2.9875
KINASE-PSP_MEKK6/MAP3K6	0.684022542595695	0.00195618127673825	0.0873123209069275	0.108908335546096	0.942180475308088	0.0795605452150263	0.8192	3.3549	-2.3926	-2.2814	0.2089	2.3526
KINASE-PSP_MEK1/MAP2K1	0.0542568728670349	0.0266499465348702	0.103755673521189	0.0136942693459136	0.513052182356537	0.0161945938163949	2.1946	2.4078	1.9664	2.7076	1.2659	2.8486
KINASE-PSP_LYN	0.284889368962765	0.684022542595695	0.990189917199455	0.114375552596079	1	0.605935650887574	1.7247	0.8797	0.0976	-2.167	-0.0573	1.0916
KINASE-PSP_Lck/LCK	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00596717871429833	0.000381923076923077	0.154311085850639	6.2675	5.2381	5.236	3.8373	5.4185	2.172
KINASE-PSP_Fyn/FYN	0.000381923076923077	0.93650202927624	0.0225528049057461	0.709587392584798	0.000381923076923077	0.794479805103587	4.6624	0.2471	3.1385	-0.7316	4.9787	0.554
KINASE-PSP_EGFR	0.000381923076923077	0.00195595650803656	0.809227556905784	1	0.000716088555563568	0.165513665094263	4.0977	3.7381	0.506	0.0335	3.366	1.9104
KINASE-PSP_ASK1/MAP3K5	0.670310727740811	0.00255848706585592	0.0847042040842995	0.11175408936653	0.940667619000706	0.0699650461734869	0.8303	3.3009	-2.4655	-2.3084	0.2091	2.3918
KINASE-PSP_Abl/ABL1	0.00437549571326057	0.971777302207475	0.0699650461734869	0.594236175995017	0.000716088555563568	0.815451044445965	3.3648	0.1459	2.6109	1.0283	4.3198	0.5064
KINASE-iKiP_ZAP70	0.536036490800919	0.491222397864823	0.923001630224702	0.13492919917995	0.660954049260592	0.0121061847027706	1.1394	1.2544	-0.2756	2.1994	0.8457	2.9432
KINASE-iKiP_YES1	0.190697509969612	0.430385233154017	0.130786364957965	0.412449135220617	0.132856633168817	0.0458014368212305	1.9815	-1.3694	2.2568	1.4222	2.2672	2.6524
KINASE-iKiP_TYRO3	0.684022542595695	0.957533976218744	0.430385233154017	0.812664342629482	0.86296736283029	0.0714482280445111	-0.7805	0.1848	1.3883	-0.5147	0.4004	2.4288
KINASE-iKiP_TXK	0.84221818118841	0.546450198811347	0.0458014368212305	0.95378061979327	0.0668364261087512	0.881642102312854	0.4426	-1.1329	2.6518	-0.2001	2.5119	0.4064
KINASE-iKiP_TNK1	0.601763260363642	0.954710597110131	0.0121061847027706	0.793669468248311	0.915454866779998	0.227558795767191	-0.9984	-0.1891	-3.0971	-0.5607	-0.3058	-1.7614
KINASE-iKiP_TEK	0.0120955533050042	0.647718515967299	0.103392187113117	1	0.0536599223039901	0.84221818118841	-3.2568	-0.8706	-2.3489	0.0276	-2.6938	-0.475
KINASE-iKiP_TEC	0.263328781979434	0.0987369890835237	0.477015387768141	0.160980926681146	0.260291936212732	0.0176993516476171	1.7945	-2.4115	1.2672	2.1368	1.7862	2.9533
KINASE-iKiP_SYK	0.92926159289838	0.63738379814077	0.00315044867719227	0.0657815222488686	0.503052997244529	1	-0.2626	0.9204	-3.3831	-2.6681	-1.2091	0.0631
KINASE-iKiP_SRMS	0.868960161249923	0.0668364261087512	0.772556835822581	0.251866558915765	0.0823542299395419	0.104857882215451	0.402	-2.6233	-0.6126	1.815	2.4434	2.2215
KINASE-iKiP_ROS1	0.881642102312854	0.917173036418236	0.729935580524344	0.568827605006183	0.745228546362774	0.59299613839023	0.3794	0.2882	0.6957	1.0854	-0.6525	1.0355
KINASE-iKiP_RET	0.76849763212005	0.944960655185836	0.772556835822581	0.156161033059767	0.412919267951328	0.1345483008704	0.6154	-0.2232	0.5963	2.1567	1.4216	2.1888
KINASE-iKiP_PTK6	0.161781679750155	0.137902854800145	0.0191411038890229	0.97430153153629	0.0415170145497695	0.14474465094487	-2.1328	-2.1935	-2.815	-0.1483	-2.6451	-1.8574
KINASE-iKiP_PTK2B	0.201409885248007	0.0574890973734449	0.0234481159718957	0.3447905177326	0.640901759649038	0.313489942680747	-1.8307	-2.547	-2.7893	-1.5957	-0.887	-1.6161
KINASE-iKiP_PTK2.FAK	0.709587392584798	0.513623066650006	0.772556835822581	0.0189004148216155	0.683766524782376	0.0458014368212305	0.7306	1.1763	0.6378	2.8925	0.8154	2.6248
KINASE-iKiP_PDGFRB	0.309173163104543	0.327266006496629	0.568104886769964	0.640157143318583	NA	NA	-1.6034	1.611	-1.1527	-1.0425	NA	NA
KINASE-iKiP_PDGFRA	0.010662514764308	0.491222397864823	0.113632648257011	0.602688446908592	0.746956143466261	0.981730020528067	-3.1927	-1.238	-2.2164	1.1023	-0.6663	-0.1344
KINASE-iKiP_NTRK3	0.292945490939281	0.134765415484236	0.13885149547329	0.469354707853183	0.0305621527902456	0.294761536725328	-1.7221	-2.2471	-2.1941	-1.3041	-3.0418	-1.6978
KINASE-iKiP_NTRK2	0.395546036254791	0.103392187113117	0.811423538575678	0.444184399720482	0.899212109519358	0.922454847271291	1.4578	2.1535	-0.5351	1.3587	0.3374	-0.2977
KINASE-iKiP_NTRK1	0.350452856697685	0.608843588211868	0.852416964593896	0.504849456143581	0.774273086331025	0.168994446449872	-1.5528	0.974	0.4165	1.2122	-0.5876	-2.0742
KINASE-iKiP_NPM1:ALK	0.275590419569535	0.417320205031962	0.792378089254896	0.343715462064442	0.921683545586781	0.412919267951328	1.7064	1.4155	0.5563	1.578	0.2637	-1.4592
KINASE-iKiP_MUSK	0.857842935866255	0.276585189424541	0.842173569653511	0.292945490939281	0.246909467935876	0.439186200796108	-0.4196	-1.7677	-0.439	-1.7184	1.8235	1.3551
KINASE-iKiP_MST1R	0.971777302207475	1	0.319406539029377	0.722775511940725	NA	NA	-0.1504	0.0712	-1.6214	-0.7401	NA	NA
KINASE-iKiP_MET	0.921683545586781	0.0623223879812766	0.430760130139012	0.982026681742819	0.601763260363642	0.928021113303296	0.2863	-2.6405	-1.3749	0.1236	0.9995	0.2505
KINASE-iKiP_MERTK.MER	0.342641969207642	0.213566727860264	0.982026681742819	0.274050775154352	0.690330444203684	0.646844026007942	1.6068	-1.9329	0.1101	-1.7715	0.7901	0.9858
KINASE-iKiP_MATK.CTK	0.723218856576615	0.670404983932463	0.130899131694976	0.155967428396312	0.501391552106563	0.125582655826558	-0.7001	-0.8417	-2.2072	1.8568	-1.2077	1.9844
KINASE-iKiP_MAPK8.JNK1	0.770604539198206	0.00491691868144383	0.313235722661785	0.642960167674879	0.93650202927624	0.0820227607628619	0.6823	3.3594	-1.6067	-0.9616	0.2207	2.3331
KINASE-iKiP_MAPK10.JNK3	0.770493607913124	0.00195595650803656	0.294735982191179	0.647718515967299	0.944960655185836	0.0731044045382281	0.6853	3.3252	-1.6382	-0.95	0.2178	2.371
KINASE-iKiP_LYNB.LYN	0.0111510453329267	0.993559114720874	0.00987026746372541	0.284967459981414	0.00195644978248534	0.000381923076923077	3.6056	-0.0929	3.4873	1.7523	4.5976	4.0554
KINASE-iKiP_LYNA.LYN	0.921683545586781	0.106626783248965	0.775998294977654	0.349764537468648	0.140703375180661	0.504849456143581	0.2784	-2.4324	0.5947	-1.558	2.1606	1.2372
KINASE-iKiP_LTK	0.637385116055951	0.172227202032217	0.327266006496629	0.42525371791628	0.924242145751346	0.492548933181391	-0.9085	-2.0781	1.6143	1.4081	0.2598	-1.3004
KINASE-iKiP_LCK	0.113632648257011	0.510815215773664	0.160430326708567	0.915454866779998	0.0130397547231215	0.07824661969047	2.4012	-1.2067	2.1365	0.3145	3.4278	2.2723
KINASE-iKiP_KIT	0.109097442505948	0.138566004534747	0.617053878793169	0.954522019276662	0.126158858141151	0.711962415351823	-2.3403	-2.2209	-0.9729	0.1939	-2.059	0.7876
KINASE-iKiP_KDR	0.469354707853183	0.233320049018394	0.923001630224702	0.344855300680483	NA	NA	-1.3185	1.8233	0.268	1.6241	NA	NA
KINASE-iKiP_JAK3	0.0309137776449492	0.535586924023802	0.19517901089291	0.365658307852476	0.00838732019629539	0.0519135277604061	-2.9858	-1.1467	-1.9037	-1.5534	-3.2429	-2.5538
KINASE-iKiP_JAK2	NA	NA	NA	0.0723884921980077	0.246909467935876	NA	NA	NA	NA	2.3135	1.7515	NA
KINASE-iKiP_ITK	0.100440591540999	0.634376049497533	0.745228546362774	0.729391734279919	NA	NA	2.1115	1.0115	-0.6647	0.7744	NA	NA
KINASE-iKiP_INSRR	0.442891986191774	0.939795672142044	0.762572112318922	0.634767670170196	0.552245747885677	0.625932791534659	1.3387	-0.2202	0.6223	-0.9168	1.1091	-0.9481
KINASE-iKiP_INSR	0.512928132663134	0.527746970867295	0.0101960694306364	0.552345237598855	0.637385116055951	0.634376049497533	-1.1844	-1.168	-3.2848	-1.1155	-0.8991	-0.9177
KINASE-iKiP_IGF1R	0.279017229946163	0.444184399720482	0.813780554662835	0.0849575971546355	0.642960167674879	0.157292623912174	-1.7454	-1.3366	-0.519	-2.5135	0.9016	-2.1242
KINASE-iKiP_HCK	0.473213629008532	0.0942900820821647	0.381346269791209	0.921683545586781	0.413586576732598	0.832472456446841	-1.2639	-2.4802	-1.5126	-0.2737	-1.4165	-0.5015
KINASE-iKiP_FRK	0.268705608577908	0.775728155339806	0.0564363217323052	0.0835484400514153	0.558811461318051	0.107590081702201	-1.7695	-0.6109	-2.5675	2.4629	-1.113	2.191
KINASE-iKiP_FLT4	0.92926159289838	0.137002170616396	0.770493607913124	0.770604539198206	0.617053878793169	0.640157143318583	-0.2597	2.2374	0.6593	0.6115	-0.9759	-0.9866
KINASE-iKiP_FLT3	0.800577514086534	0.498082836746175	0.137002170616396	0.271041703222788	0.0432432188920474	0.0136253864871293	0.5549	-1.193	-2.2421	-1.7774	-2.8129	-3.099
KINASE-iKiP_FLT1	0.571017826336975	0.0298249108430078	0.718917820627515	0.617053878793169	NA	NA	1.1323	2.6269	0.7502	1.0128	NA	NA
KINASE-iKiP_FGR	0.148230560657745	0.194115267947422	0.0401237139115795	0.412523578550256	0.0189004148216155	0.156034235608342	-2.2126	-2.0278	-2.8236	-1.4258	-3.1368	-2.1049
KINASE-iKiP_FGFR3	0.386108534300664	0.0972064531573278	0.73847237749493	0.44156875618352	0.852416964593896	0.800577514086534	-1.4863	-2.2985	-0.7081	1.3826	-0.4204	0.6149
KINASE-iKiP_FGFR2	0.485647327072381	0.510815215773664	0.485609368797142	0.745228546362774	0.205084571969623	0.684022542595695	-1.2483	-1.1889	-1.2499	0.6815	-1.9728	-0.8313
KINASE-iKiP_FGFR1	0.0163734217428488	0.798910194178187	0.11984628451357	0.657192614547701	0.0125652245934679	0.0458014368212305	-3.1314	-0.5439	-2.2386	-0.8618	-3.2042	-2.552
KINASE-iKiP_FES	0.76849763212005	0.351827740614742	0.962203527873631	0.711962415351823	0.904056115621376	0.552245747885677	-0.6149	-1.5745	0.1668	0.7282	-0.309	-1.1115
KINASE-iKiP_FER	0.692754742742167	0.39121168285104	0.299268140702699	0.0601984801328929	0.550880554821361	0.852330709983029	-0.7549	-1.4544	1.6664	2.7347	-1.097	-0.4648
KINASE-iKiP_ERBB4	0.690731490731491	0.617053878793169	0.16142201965532	0.266892379240185	0.887497156239086	0.107590081702201	0.7499	0.9998	2.1179	1.7785	0.3593	2.2614
KINASE-iKiP_EPHB4	0.516621029572837	0.343715462064442	0.35866637306585	0.684022542595695	0.233092511932396	0.669159582086264	1.1539	-1.5759	1.5307	0.8021	1.9243	-0.8213
