id	fdr.pvalue.R_0s_vs_D_0s	fdr.pvalue.R_150s_vs_D_150s	fdr.pvalue.R_600s_vs_D_600s	fdr.pvalue.S_0s_vs_D_0s	fdr.pvalue.S_150s_vs_D_150s	fdr.pvalue.S_600s_vs_D_600s	R_0s_vs_D_0s	R_150s_vs_D_150s	R_600s_vs_D_600s	S_0s_vs_D_0s	S_150s_vs_D_150s	S_600s_vs_D_600s
PERT-PSP_LPS	0.154238765585002	0.00099047619047619	0.00171721299633028	0.477675121659255	0.00099047619047619	0.267952017328276	-2.2736	-4.1523	-3.4867	-1.3309	-3.6437	1.7474
PERT-PSP_LPA	0.00299119717993381	0.00099047619047619	0.0198823807876482	0.636694343537516	0.00709054650614457	0.252264446355413	-2.9111	-3.6297	-2.8299	-0.9073	-3.0171	1.7506
PERT-PSP_INSULIN	0.249391539792648	0.00099047619047619	0.00099047619047619	0.128315144473491	0.00099047619047619	0.904823194372963	-1.9583	-4.2255	-4.1846	-2.3662	-4.2539	-0.3563
PERT-PSP_IL_2	0.00171721299633028	0.00099047619047619	0.00099047619047619	0.116886099094743	0.00099047619047619	0.904823194372963	-3.0578	-4.158	-4.2301	-2.3481	-4.1704	-0.3529
PERT-PSP_IL_1B	0.0577973445871432	0.00099047619047619	0.00099047619047619	0.465228580787048	0.00099047619047619	0.273348312909499	-2.5963	-4.2677	-3.5257	-1.3458	-3.6433	1.717
PERT-PSP_IL_1A	0.0489198639563279	0.00099047619047619	0.00099047619047619	0.45489572222745	0.00099047619047619	0.269403128483032	-2.627	-4.2544	-3.5193	-1.3541	-3.6756	1.7507
PERT-PSP_HGF	0.0691108686092154	0.00099047619047619	0.0229305205228159	0.468719888765329	0.00631627534101813	0.237809068960048	-2.5487	-3.654	-2.8334	-1.342	-2.9951	1.801
PERT-PSP_HEREGULIN	0.00299119717993381	0.00099047619047619	0.022819027558364	0.636949615526962	0.00709054650614457	0.242056263914187	-2.845	-3.6289	-2.772	-0.9006	-3.0032	1.8064
PERT-PSP_H2O2	0.252264446355413	0.269403128483032	NA	0.509780997347693	0.607263118557298	0.562563019826525	1.9172	-1.7331	NA	-1.2424	1.053	-1.1484
PERT-PSP_GEFITINIB	0.00803756013679309	0.0149461077844311	NA	0.154242405049929	0.0465796781224807	0.0150803317672989	2.9637	2.7019	NA	2.1689	2.318	2.929
PERT-PSP_FIBRONECTIN	0.00299119717993381	0.00099047619047619	0.0294396190166951	0.636949615526962	0.0105008077544426	0.237968759076437	-2.9133	-3.5778	-2.8375	-0.8982	-3.0398	1.7893
PERT-PSP_FGF2	0.832950180205568	NA	0.0144053941077387	0.535970547471638	0.124686223820764	0.742696012566	-0.5038	NA	-2.7839	-1.2095	2.1337	0.6482
PERT-PSP_FGF1	0.00421449339965757	0.00421449339965757	0.0229887011893932	0.636949615526962	0.00709054650614457	0.244112247574089	-2.8484	-2.858	-2.8211	-0.9002	-2.9637	1.7842
PERT-PSP_ETOPOSIDE	0.535970547471638	0.332092299857545	0.602020856169928	0.947889067980105	0.231506346760584	0.686808773555761	1.2309	-1.6577	1.0756	0.2519	-1.9575	-0.8237
PERT-PSP_ERLOTINIB	0.00631627534101813	0.00171721299633028	0.0229887011893932	0.468651348651349	0.00099047619047619	0.252264446355413	2.8864	3.6195	2.8263	1.3292	3.6775	-1.7696
PERT-PSP_EGF	0.496539137985591	0.607263118557298	0.0734926182700204	0.315068758206067	0.626566264187426	0.395987654825789	1.2631	-0.9797	-2.7574	-1.7287	-0.9511	-1.5164
PERT-PSP_DASATINIB	0.00432024509082727	0.00099047619047619	0.00171721299633028	0.471187656487536	0.00099047619047619	0.266985074626866	2.9928	4.2216	3.5684	1.3218	3.6096	-1.7435
PERT-PSP_CYCLIC_STRETCH	0.00961577974111362	0.00099047619047619	0.0220199511696996	0.636949615526962	0.00884993405097222	0.242056263914187	-2.8483	-3.5961	-2.8072	-0.9035	-2.9669	1.8179
PERT-PSP_CXCL12	NA	0.00542854160141977	0.237809068960048	0.928156160465493	0.0859344201287376	0.207530631655508	NA	-2.9295	-1.7848	-0.3083	-2.0917	1.8272
PERT-PSP_CISPLATIN	0.00542854160141977	0.00099047619047619	0.00099047619047619	0.46533522872923	0.00099047619047619	0.267952017328276	-2.8216	-4.2273	-3.5201	-1.3326	-3.6713	1.7262
PERT-PSP_BACTERIAL_INFECTION	0.00171721299633028	0.00171721299633028	0.0270235439693135	0.636694343537516	0.012248157685216	0.242056263914187	-2.8691	-3.672	-2.7705	-0.9036	-3.0293	1.8079
PERT-PSP_ANTI_IGM	0.00299119717993381	0.00099047619047619	0.02140693308991	0.636949615526962	0.00542854160141977	0.247723997626515	-2.8662	-3.6182	-2.8007	-0.9081	-2.9824	1.797
PERT-PSP_ANTI_CD3	0.174337829222451	0.00884993405097222	0.00099047619047619	0.00099047619047619	0.0198823807876482	0.149518006516999	-2.256	-3.7875	-4.7633	-4.6657	-3.4063	-2.3915
PERT-PSP_ANISOMYCIN	0.477675121659255	0.00099047619047619	0.00099047619047619	0.474902633176014	0.00171721299633028	0.269403128483032	-1.3119	-4.3337	-3.5043	-1.315	-3.6822	1.7393
PERT-P100-DIA2_SOTRASTAURIN	0.33497467806641	0.598196458740154	1	0.886982789247171	0.844804054038658	0.602020856169928	1.6949	1.0155	0.0502	0.3935	0.4803	1.0111
PERT-P100-DIA2_RGFP966	0.0660287983175354	0.940717938105216	0.209766169025652	0.395347218876631	0.650904392764858	0.571155378486056	2.6776	-0.2488	2.1039	1.5299	-0.904	-1.0936
PERT-P100-DIA2_RESVERATROL	0.273348312909499	0.177643070787637	0.34471948500179	0.535970547471638	0.386083438395609	0.668218817116971	1.7014	-2.2141	1.612	1.1837	-1.5244	-0.8473
PERT-P100-DIA2_PAZOPANIB	0.650904392764858	0.534944076547246	0.115619455772908	0.456334424971087	0.393435945037434	0.599316847891365	0.9433	-1.1825	2.2978	1.3853	-1.5148	-1.0541
PERT-P100-DIA2_LOSMAPIMOD	0.272666002670235	0.178015042965727	0.332459172290192	0.541348419691732	0.388662651948289	0.683514531883745	1.7373	-2.1964	1.63	1.1808	-1.5309	-0.8295
PERT-P100-DIA2_LENALIDOMIDE	0.657416471483817	0.536185738728429	0.115619455772908	0.464656290531777	0.395987654825789	0.585227817455392	0.941	-1.1783	2.3142	1.3637	-1.4894	-1.0713
PERT-P100-DIA2_IPI145	0.0428716708245913	0.00709054650614457	0.0391553718478644	0.511372475074835	0.00961577974111362	0.657420562655632	-2.6956	-2.8823	-2.7349	-1.2405	-2.8915	-0.8846
PERT-P100-DIA2_GELDANAMYCIN	0.272666002670235	0.177643070787637	0.343121687520731	0.534651507661888	0.381548895908571	0.661547726588377	1.6959	-2.2022	1.6041	1.1937	-1.5213	-0.8579
PERT-P100-DIA2_CI-994	0.27959154267874	0.180662187813559	0.342765216162822	0.528021870728373	0.386083438395609	0.679181018723421	1.7031	-2.1656	1.6267	1.2057	-1.5452	-0.8362
PATH-WP_Non-small_cell_lung_cancer	0.00631627534101813	0.00099047619047619	0.00099047619047619	0.0907609635055562	0.00099047619047619	0.150740801676437	-2.9198	-3.6786	-3.6609	-2.4087	-3.5745	-1.9116
PATH-NP_TWEAK_PATHWAY	0.55801247779111	0.00099047619047619	0.00099047619047619	0.119883384534461	0.00099047619047619	0.890080715095724	-1.0998	-4.7561	-4.0673	-2.3376	-4.2345	-0.3619
PATH-NP_TSLP_PATHWAY	0.147284003537768	0.00099047619047619	0.00099047619047619	0.00099047619047619	0.00299119717993381	0.371837072560305	-2.3794	-5.5571	-5.2893	-4.2316	-3.9959	-1.6146
PATH-NP_TIE2_PATHWAY	0.971002308181728	0.420456842530827	0.0281584377482134	0.955517330351767	0.442781149941336	0.258879242304657	0.2025	-1.466	-2.4337	-0.2207	1.4245	1.8763
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.112379985119926	0.00299119717993381	0.607263118557298	0.82163611176079	0.0427187475780826	0.917330831678818	-1.9564	-3.1224	-1.036	0.5089	-2.6832	0.3235
PATH-NP_PROLACTIN_PATHWAY	0.688889887024214	0.536557341325432	0.447234884320977	0.665833233773	0.34471948500179	0.64259605820291	-0.7387	1.2397	-1.4098	0.8397	1.6169	0.9394
PATH-NP_OXYTOCIN_PATHWAY	0.0571669616570487	0.00099047619047619	0.00099047619047619	0.47026597094909	0.00099047619047619	0.265717337692981	-2.5824	-4.1864	-3.5151	-1.3246	-3.6805	1.7548
PATH-NP_NOTCH_PATHWAY	0.495578212919695	0.00099047619047619	0.00099047619047619	0.177643070787637	0.00543901940755873	0.534651507661888	-1.2718	-4.8623	-4.3786	-2.1626	-3.5761	1.1543
PATH-NP_LEPTIN_PATHWAY	0.535970547471638	0.00099047619047619	0.00171721299633028	0.119864561902038	0.00884993405097222	0.529207552555608	-1.1697	-4.772	-4.3397	-2.3634	-3.55	1.1845
PATH-NP_KIT_RECEPTOR_PATHWAY	0.00542854160141977	0.00099047619047619	0.00631627534101813	0.634240194268744	0.252264446355413	0.0941940722695899	-2.9495	-3.7746	-3.2412	-0.9281	-1.956	2.3553
PATH-NP_IL33_PATHWAY	0.0377115229653505	0.00099047619047619	0.00099047619047619	0.0203848668201323	0.00099047619047619	0.367405552947722	-2.9723	-5.0919	-4.6296	-3.2014	-4.741	-1.6062
PATH-NP_GLP1_PATHWAY	0.779379050995798	0.16246552752057	0.868210539491242	0.953475643130816	0.934374324738059	0.942933893813358	0.6188	-2.2653	-0.4158	0.2214	-0.277	-0.2715
PATH-NP_FGF1_PATHWAY	0.410578869599745	0.49678690361448	0.257391187623746	0.688889887024214	0.724288540673244	0.979373836044837	-1.4855	-1.2699	1.9559	0.764	-0.7624	-0.1592
PATH-NP_EGFR1_PATHWAY	0.0855244613161946	0.00099047619047619	0.00171721299633028	0.195078885335289	0.0652787948530181	0.349590700938523	-2.8108	-5.6644	-4.1888	-2.2085	-2.9063	-1.642
PATH-NP_CRH_PATHWAY	0.560687871250269	0.00099047619047619	0.00099047619047619	0.118736826199223	0.00099047619047619	0.900064886492703	-1.1004	-4.7414	-4.1328	-2.4068	-4.2205	-0.3571
PATH-NP_CCR7_PATHWAY	0.737113007065226	0.171948086421509	0.273348312909499	0.530989237193011	0.257497857754927	0.162533014518574	0.7074	1.9756	1.7893	-1.1848	-1.7656	-2.1634
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.405553763813987	NA	0.0168191936680683	0.0445239515006957	0.049426365408745	0.0488226200714808	-1.4874	NA	-2.6991	-2.5347	-2.1395	-2.5372
PATH-NP_AGE_RAGE_PATHWAY	0.490828865517177	0.00099047619047619	0.00099047619047619	0.171097889656878	0.00709054650614457	0.528021870728373	-1.2822	-4.8633	-4.4187	-2.1714	-3.5087	1.1773
PATH-BI_ISCHEMIA	0.556891178878287	0.00803756013679309	0.00099047619047619	0.264576	0.259750117840068	0.742696012566	-1.1466	-2.8255	-3.8726	-1.8572	-1.9233	-0.6761
KINASE-PSP_ZAP70	0.668016333929354	0.0267770935696355	0.00803756013679309	0.608840573579798	0.607263118557298	0.0652787948530181	0.8286	-2.5346	-3.0904	-1.0271	-1.0913	-2.6407
KINASE-PSP_Syk/SYK	0.396317361992289	0.0105008077544426	0.0193767306890617	0.152751022259541	0.0458992419630977	0.0450935645823825	-1.491	-2.6882	-2.7074	-2.2676	-2.1743	-2.6083
KINASE-PSP_Src/SRC	0.732779481616419	0.710325197613732	0.218803418803419	0.535970547471638	0.287517232294108	0.796020037393121	0.6849	-0.7364	2.1167	-1.1357	1.8095	-0.5479
KINASE-PSP_Ret/RET	0.267952017328276	0.0513043730594005	0.00421449339965757	0.0758645016233026	0.0105008077544426	0.197688158232725	-1.8936	-2.8845	-3.4406	-2.5116	-3.4365	-1.8968
KINASE-PSP_MKK4/MAP2K4	0.00709054650614457	0.150807485931161	0.392519152771519	1	0.348039321750294	0.666230346753689	2.877	1.9745	-1.52	-0.0934	1.6334	0.8652
KINASE-PSP_MEK1/MAP2K1	0.464656290531777	0.0229887011893932	0.395284552845528	0.712090146894964	0.0936829255413326	0.456334424971087	-1.3749	-2.799	-1.5234	0.7448	-2.0953	1.3978
KINASE-PSP_LYN	0.787876785833776	0.55801247779111	0.0390030600805116	0.457803620117605	0.365929647979908	0.197408187101202	0.565	-1.123	-2.8524	-1.385	1.5909	-1.8923
KINASE-PSP_Lck/LCK	0.542177568915537	0.131055847411022	0.0904301190433689	0.115619455772908	0.979373836044837	0.00099047619047619	1.1409	-2.4646	-2.6858	-2.4888	-0.1676	-4.1557
KINASE-PSP_Fyn/FYN	0.367563113622396	0.405553763813987	0.988856589147287	0.146167333543137	0.425598753813202	0.273348312909499	-1.5784	1.4903	-0.1298	-2.3308	1.4348	-1.7726
KINASE-PSP_EGFR	0.0686404576030507	0.0367462311557789	0.362305335793852	0.283024018352663	0.0873403254424793	0.542625520471052	-2.1546	-2.4932	-1.6136	-1.7949	-1.9566	-1.163
KINASE-PSP_Abl/ABL1	0.0961817941603911	0.0354336217858367	0.0178364279504067	0.914756922381779	0.722225016225887	0.17581054553184	-2.3287	-2.6837	-2.7754	-0.3183	-0.7118	-1.9225
KINASE-iKiP_ZAP70	0.0131797001423252	0.00299119717993381	0.0711731936476262	0.361104580718665	0.171689093803116	0.0620820561662855	-3.1797	-3.2061	-2.5124	-1.636	-2.2414	-2.784
KINASE-iKiP_YES1	0.269403128483032	0.0646092184368738	0.742814723449938	0.367563113622396	0.829958454662326	0.252264446355413	-1.9041	-2.7721	-0.6417	-1.6037	-0.4918	-1.833
KINASE-iKiP_TYRO3	0.890080715095724	0.199312991862594	0.47026597094909	0.00299119717993381	0.0708826249939146	0.247723997626515	-0.3987	1.9213	1.2997	3.5033	2.1546	1.9524
KINASE-iKiP_TXK	0.379956427015251	0.77196278966544	0.365929647979908	0.170405982905983	0.93002449121134	0.391163258944313	1.5722	0.6078	1.5995	2.276	0.2879	1.5146
KINASE-iKiP_TEC	0.55801247779111	0.772130347956526	0.197408187101202	0.575460612137089	0.412702065328723	0.82163611176079	-1.0925	-0.5968	2.137	-1.0599	1.4923	0.496
KINASE-iKiP_SYK	0.990258196396331	NA	NA	0.451435713331752	0.636694343537516	0.416984028108575	0.1459	NA	NA	1.3917	-0.898	-1.4458
KINASE-iKiP_SRMS	1	0.663770690351231	0.333911074953132	0.269403128483032	0.105961211904549	0.22845819856048	-0.1137	0.8829	1.6952	1.873	2.4389	1.9638
KINASE-iKiP_ROS1	0.779116089206399	0.461460446247465	0.981385479062022	0.355972647420675	0.583687579288256	0.634289482067204	-0.5866	1.392	0.1491	1.6258	1.1043	0.9249
KINASE-iKiP_RET	0.528021870728373	0.671651423934721	0.333705998648299	0.172449859438058	0.857978525744847	0.742696012566	1.1711	0.8051	1.7068	2.0268	0.4571	0.6531
KINASE-iKiP_PTK6	0.835768667322128	0.252264446355413	0.308176112276855	0.979373836044837	0.202342632595803	0.716269430051813	-0.4732	1.7785	1.6765	0.1711	2.0967	0.7202
KINASE-iKiP_PTK2.FAK	0.112379985119926	0.688889887024214	0.457803620117605	0.00631627534101813	0.154242405049929	0.47026597094909	2.3748	0.7776	1.3704	3.2717	2.0817	1.3306
KINASE-iKiP_NTRK3	0.885776230444678	0.0566938053097345	0.0493475682087782	0.0445467687530117	0.180662187813559	0.844804054038658	0.3807	2.2938	2.6583	2.9411	2.1704	0.4533
KINASE-iKiP_NTRK2	0.541122439606871	0.348039321750294	0.981102105091298	0.405553763813987	0.0577973445871432	0.177929534814762	-1.1736	1.6179	0.156	1.4548	2.0799	2.0061
KINASE-iKiP_NTRK1	0.365929647979908	0.446248183857881	0.293427127674703	0.00956964704258544	0.395987654825789	0.264576	1.6018	1.4098	1.7629	3.3124	1.5404	1.8428
KINASE-iKiP_NPM1:ALK	0.177643070787637	0.24724741417277	0.416729026357363	0.367563113622396	0.667920431191593	0.902988773873743	-2.2143	-1.9108	1.4786	-1.6281	-0.8801	0.366
KINASE-iKiP_MUSK	0.546225921178531	0.60360824827609	0.932699736471684	0.393435945037434	0.430554057024116	0.437662803029298	-1.1379	1.0759	0.278	1.5175	1.4427	1.426
KINASE-iKiP_MET	0.548286465030469	0.945619105140354	0.593379201114008	0.906923559025016	0.64259605820291	0.211497524301996	1.1637	-0.2542	-1.0217	-0.3557	-0.9219	-2.078
KINASE-iKiP_MATK.CTK	1	0.477675121659255	0.264576	0.922633189630195	0.498752186869606	1	-0.0362	1.3261	1.9119	0.3027	1.2791	0.071
KINASE-iKiP_LYNB.LYN	0.636694343537516	0.487247575515732	0.343121687520731	0.222167526575119	1	0.981385479062022	-0.9014	-1.2853	1.6778	2.0835	-0.1008	0.1549
KINASE-iKiP_LYNA.LYN	0.162828171240994	0.392519152771519	0.0613279336076556	1	0.666230346753689	0.292005554453481	-2.2447	-1.5501	2.8272	-0.1071	-0.8837	1.8266
KINASE-iKiP_LTK	1	0.126976022731372	0.0996078003479484	0.971002308181728	0.264576	0.817311357775535	-0.0421	2.2728	2.4567	-0.1901	1.8888	0.5212
KINASE-iKiP_LCK	0.905259330732335	0.00884993405097222	0.732779481616419	0.917330831678818	0.341343119318253	0.583687579288256	-0.3552	-3.6028	-0.6672	-0.2996	-1.6925	-1.0567
KINASE-iKiP_KIT	0.476275102724154	0.319330525080328	0.638555422168868	0.27104125622619	0.270848245809775	0.645948494385325	-1.3274	-1.7189	-0.883	-1.7868	-1.8722	-0.9285
KINASE-iKiP_JAK3	0.663160647716791	NA	NA	0.477675121659255	0.327274791762979	0.524618792940184	-0.8276	NA	NA	-1.315	-1.727	-1.2358
KINASE-iKiP_INSRR	0.244112247574089	0.283287825511881	0.746392494834079	0.606385675592736	0.0438117638798687	0.397636691270242	-1.957	-1.7713	0.684	-1.0064	-2.9107	-1.5186
KINASE-iKiP_INSR	0.967230476023205	0.636694343537516	0.0566938053097345	0.468651348651349	0.259750117840068	0.465228580787048	-0.1979	0.9381	2.7191	-1.3657	-1.9466	1.3438
KINASE-iKiP_IGF1R	0.273348312909499	NA	NA	0.468651348651349	0.222329652493986	0.624668724594592	-1.7848	NA	NA	1.3496	-1.9431	-0.9876
KINASE-iKiP_HCK	0.510090507480632	0.116886099094743	0.150740801676437	0.0198823807876482	0.0843793172289878	0.228785128966617	1.2317	2.0321	2.1394	2.8688	2.556	1.9722
KINASE-iKiP_FLT4	0.607263118557298	0.948585987261146	0.575460612137089	0.722006089711617	0.599686974675858	0.915785520172147	1.0107	0.2244	1.0583	0.81	-1.0735	0.3229
KINASE-iKiP_FLT3	0.970183541041579	0.400689410619892	0.237004726363315	0.00421449339965757	0.00099047619047619	0.0993867215409269	0.1793	1.4967	1.8933	3.7073	3.9382	2.5483
KINASE-iKiP_FGR	0.905681850513557	0.049426365408745	0.035827212441098	0.00956964704258544	0.0405302898500296	0.0131797001423252	-0.3341	2.6073	2.845	3.1366	2.9153	3.2635
KINASE-iKiP_FGFR3	NA	0.548286465030469	0.252264446355413	0.625382524616757	0.262000465336446	0.40710267730283	NA	-1.1419	1.9642	-1.013	-1.7476	-1.4845
KINASE-iKiP_FGFR2	0.69291819180032	0.974353409296437	0.93458602313026	0.950614977307518	0.109103797726355	0.259750117840068	0.7653	-0.187	0.2696	-0.2335	-2.5133	-1.9095
KINASE-iKiP_FGFR1	0.753890037579801	NA	NA	0.249391539792648	0.140589569160998	0.177643070787637	-0.6289	NA	NA	-1.8686	-2.3434	-2.2267
KINASE-iKiP_FES	0.796020037393121	0.442455506146306	0.00099047619047619	1	0.510090507480632	0.585227817455392	-0.5339	1.419	4.4258	-0.0113	1.2226	1.0215
KINASE-iKiP_FER	1	0.607263118557298	0.00631627534101813	0.0907609635055562	0.105580406712985	0.231506346760584	-0.0118	1.0278	3.7515	2.6534	2.492	1.9726
KINASE-iKiP_ERBB4	0.261335352821735	0.286678882384077	0.282197194079362	0.345811384499122	0.75456670805508	0.257497857754927	1.9119	1.7139	1.7944	1.7113	0.676	1.8162
KINASE-iKiP_EPHB4	0.511372475074835	0.393435945037434	0.0493475682087782	0.168349181354892	0.352550828689527	0.634289482067204	-1.1987	1.5302	2.8777	2.3428	1.6506	0.916
KINASE-iKiP_EPHB3	0.535970547471638	0.575460612137089	0.0124731086074944	0.0917469076712277	1	0.049426365408745	-1.1368	1.0824	3.3558	2.6638	0.1232	2.8844
KINASE-iKiP_EPHB2	0.717015751582156	1	0.0871003677663429	0.470520286855658	0.722006089711617	0.869955724225174	-0.7175	0.0946	2.6587	1.3136	0.7158	-0.4393
KINASE-iKiP_EPHB1	0.636694343537516	0.846167189869451	0.889722914528662	1	0.131135615516583	0.180662187813559	-0.9185	-0.4516	0.3828	0.0392	-2.4638	-2.2056
KINASE-iKiP_EPHA8	0.195078885335289	0.124708470847085	0.113121231025161	0.177643070787637	0.00171721299633028	0.102589781471916	2.1959	2.3602	2.4388	2.274	4.0801	2.6038
KINASE-iKiP_EPHA6	1	0.668218817116971	0.511372475074835	0.047116928932832	0.583687579288256	0.99231818826655	0.0835	-0.8565	-1.2645	2.9161	1.0674	-0.1391
KINASE-iKiP_EPHA5	0.308176112276855	0.929498240866035	0.180662187813559	0.269403128483032	0.499873737513786	0.315068758206067	-1.7521	-0.2921	2.1946	1.8888	1.2729	1.7404
KINASE-iKiP_EPHA3	0.914756922381779	0.0627755547563297	0.116326508663184	0.218803418803419	0.0628156774520832	0.920327794218074	-0.316	2.4077	2.4779	2.0714	2.2012	0.3089
KINASE-iKiP_EPHA2	0.979373836044837	0.548046788788347	0.117527538382512	0.267869716014291	0.156299166373136	0.155168248490078	-0.162	1.1377	2.4952	1.8631	2.1577	2.2361
KINASE-iKiP_EPHA1	0.688889887024214	0.105961211904549	0.360375572980979	0.0613279336076556	0.316315363050648	0.131055847411022	-0.7703	2.3144	1.6129	2.7287	1.6775	2.3384
KINASE-iKiP_EGFR	0.697731698934586	0.636949615526962	0.941823327269052	0.95294083402298	0.607263118557298	0.666230346753689	-0.782	-0.9202	0.2454	-0.2371	-1.0579	0.8261
KINASE-iKiP_DDR2	0.724288540673244	0.0271216097987751	0.297042801197456	0.47026597094909	0.180662187813559	0.166499899939964	0.6968	2.3658	1.7301	1.3556	2.0525	2.0337
KINASE-iKiP_CSF1R.FMS	0.442455506146306	0.668218817116971	0.877235222012843	0.665833233773	0.636949615526962	0.761637552116621	-1.4137	-0.8482	0.4067	-0.9417	0.9227	0.6072
KINASE-iKiP_BMX	0.737113007065226	0.477675121659255	0.367563113622396	0.510090507480632	0.947095272030943	0.951762221861296	-0.6776	-1.293	1.5955	1.2105	0.2555	-0.2351
KINASE-iKiP_ALK	0.869955724225174	0.999745601194423	1	1	0.0602906972683397	0.0612587529932904	0.4026	0.1266	0.0149	-0.05	-2.747	-2.8669
DISEASE-PSP_type_2_diabetes	0.00299119717993381	0.00099047619047619	0.0267770935696355	0.636694343537516	0.00709054650614457	0.242056263914187	-2.9201	-3.6406	-2.7895	-0.9214	-2.9842	1.7642
DISEASE-PSP_neuroblastoma	1	0.00299119717993381	0.00884993405097222	0.391003763912287	0.0428716708245913	0.508080926207461	-0.0058	-3.5825	3.6057	-1.5272	-2.476	-1.2261
DISEASE-PSP_HNSCC	1	1	0.0229305205228159	0.636949615526962	0.00709054650614457	0.241569883860633	NaN	NaN	2.8515	0.8929	3.0292	-1.8033
DISEASE-PSP_glioma	0.00171721299633028	0.00099047619047619	0.0198823807876482	0.636694343537516	0.00884993405097222	0.237809068960048	-2.8686	-3.6096	-2.8474	-0.9169	-3.0386	1.7899
DISEASE-PSP_breast_cancer	0.0296599195801813	0.0229887011893932	0.0139211081431551	0.0486013752586955	0.478655797112194	0.119769218489886	-2.4387	-2.3352	-2.9943	-2.5853	-1.3201	-2.4262
DISEASE-PSP_acute_myelogenous_leukemia	0.00171721299633028	0.00099047619047619	0.0308221715471182	0.636694343537516	0.00631627534101813	0.244112247574089	-2.9134	-3.6275	-2.7603	-0.9031	-3.0286	1.7812
